"","ID_4","X","Y","living_wage","pop_density","average_age_pop","one_person_HH","one_parent_HH","reg_partnership","higher_degree","owner_buildings","poverty_S","criminality_index","income_index","gini_ineq_coef"
"207",207,573200.930184935,688204.1105951,-0.904667177458902,-0.266739743564565,0.138863528969061,-1.02111238402121,-1.61333810835166,-0.658126556336449,-0.766266736904394,0.40501208331589,-0.814670313811393,-1.13277240098075,-0.745210926379504,-0.761844450061147
"208",208,620915.117767597,687971.429114888,-0.562936643017704,-0.123761744286716,0.572594654936768,-0.252969010570616,-0.654978691390909,-0.090807445003899,-0.356644215857065,0.465804914335461,-0.834648421299194,-0.500852333696941,0.633808038744001,-0.931512884929561
"209",209,649277.198676193,689004.343544081,-0.626938925606249,-0.0749181499451552,0.554059982032966,-0.411783463309346,-0.714876154950956,-1.57214068015,0.0741885328173087,0.193285327006347,-0.649404998571823,-1.02045434131563,1.42405038989479,-0.163169691351885
"210",210,590422.561900535,687179.161898768,-0.681638769489005,-0.173050633626194,0.452852575063462,-0.225419564687366,-0.834671082071049,0.0352634686255564,0.304849758261436,-0.220734815282118,-0.584057692633892,-0.32593274057676,0.400767407885126,-0.573236199932153
"211",211,670340.252704447,688876.70322905,-0.772669968698299,-0.0283776404853015,1.03052661813065,-1.24961072928816,-0.633586740119463,-0.815715198373268,1.88501171647637,0.866199077257469,-0.537834441209459,-0.914196966589826,3.11947941819102,2.78007007366898
"212",212,615478.401464699,687209.659890213,0.0842082925477804,-0.0481142639414246,0.667122196533803,0.346636576300102,-0.278480349013471,-0.710656103682055,-0.298316089882688,-0.624273434981,-0.735551155829349,1.52678556272939,0.561594233232214,-0.54836698045287
"213",213,610268.697593084,687647.335014361,-0.501678799223388,-0.0179874238672065,0.488036360504899,-0.282139012094056,-0.381161715116408,-0.153842901818627,1.1638639771568,0.224729894775091,-0.668485408827275,-0.268095439095879,1.07728579896906,-0.288698524373543
"214",214,568568.147423631,686191.972444926,-0.879601004667501,-0.234755113606558,1.15882831952272,-0.551151248365784,-1.55344064479161,-0.132831082880384,-0.678774547942828,0.502490243398996,-0.835194448027171,-0.756139529741415,-0.313234145639528,-0.57302729243021
"215",215,720673.883521125,687317.632393956,-0.709586379161264,-0.10651494232433,-0.0379265315554594,-1.07621127578771,-0.359769763844963,-0.490032004830508,0.0211629637496941,0.487816111773582,-0.765905431776873,-0.521361389891249,0.0266801907076101,-0.833011982240604
"216",216,632791.951706886,687365.816139939,-0.700463918333987,-0.0354353267963945,0.298050555008113,-0.18652622932278,-0.548018935033682,0.297911205353589,-0.330131431323258,0.521356984060243,-0.770922766540862,-0.293851914943438,0.491499749907969,-0.620295980476911
"217",217,538316.918590473,684588.418166196,-0.627991035095064,-0.335128436631961,0.22854706319074,-0.842851263600187,-1.92138220666047,-1.04684520669394,-0.506441448473078,1.06849246323639,-0.745743187008324,-1.14533128087155,-1.62179111413968,0.198575496506265
"218",218,606191.952381416,685594.852643235,-0.554723921118628,-0.0546261047711984,0.269224409447606,-0.604629584492091,-0.41966722740501,-0.0277719881891717,1.11216404731588,0.244644787695294,-0.635316439407014,-0.555440436293596,1.50702676389574,0.206303768406288
"219",219,741834.100135501,684667.622869848,-0.384632290151932,-0.126720801369657,-0.283268558068494,-0.593285695010753,0.247761652264084,-1.43556385705142,-1.47018116627699,-0.319261127624182,-0.236590349269501,0.169168996157157,-1.19365206379844,-0.967105384513469
"220",220,656897.209809334,685663.080999893,-0.781666176386918,-0.114578133469432,0.046230289883227,-1.15723905779727,-0.719154545205245,0.245381658007982,1.10686149040912,1.22781160659803,-0.946862406296002,-0.401800923270433,1.96591038925188,0.318675664985403
"221",221,601149.353494601,686986.244097259,-0.744190484101482,-0.0864239981171746,0.936731147701102,-1.07945238706809,-0.69348420367951,-0.962797930940966,2.78909766907921,0.484671654996708,-0.73441495253726,-0.74453416955689,2.66736217982192,1.24707104899759
"222",222,559786.35107663,687329.144132716,-0.805417883876547,-0.234204480006982,0.097361089455742,-1.26743684133026,-1.01864186300548,-0.405984729077538,-0.107424041239274,0.831610052711851,-0.825444013134917,-1.07515847489139,-0.313515270668038,-0.509429088359714
"223",223,664072.598025223,685771.238452838,-0.756695812714924,-0.0548846631570865,0.583971180101083,-0.84771293052076,-0.847506252833916,-0.353455181731931,1.11083840808919,0.906028863097878,-0.736702525565943,-0.887290724807535,1.79969110196327,0.69952231028376
"224",224,546776.586165128,685390.013135926,-0.788062106666584,-0.277704534373522,-0.120516779131081,-0.496052356599286,-1.42936732741723,-0.469020185892266,-1.43571454638304,1.02971082965494,-0.682563824286642,-1.16082799862844,-1.06645381063096,-1.18649313750104
"225",225,705386.053274327,644681.816997295,-0.478041704512114,-0.296689423263267,-0.908583813992169,-0.556012915286357,0.662765506930124,2.46212855599257,0.569977603599512,1.27393030599218,-0.00806554981412951,0.3188315675777,0.250089668859196,-0.259276949292531
"226",226,663837.923032087,645943.990993295,0.168088728882453,-0.181597424715273,-1.57740425126958,-0.53170458068349,0.782560434050217,0.266393476946225,1.97250390543794,-0.33183895473168,-0.563961534296999,0.0123069737753653,0.812013449334906,1.34534595439035
"227",227,687217.084535563,641430.316923009,-0.611226230023499,-0.289243899373342,-0.932812182081442,-0.552771804005974,0.252040042518374,1.57963216058639,0.42415728866357,0.459516000781713,-0.341853768690089,-0.591039345844441,0.337840606233364,0.0861297859431301
"228",228,756095.020526426,645696.630162156,4.73460744774725,0.157454017194368,-2.01035615223638,1.16501717459662,2.45541102347724,0.234875748538861,-1.57358102595884,-1.85794864377473,3.21812194611535,1.01470294003021,-2.0719066166372,-0.398291428908054
"229",229,696590.157583355,645050.522301862,0.158548110496643,-0.30725201213862,-1.86048750957009,-0.17194122856106,1.23606980100486,2.01037444882036,0.364503523462503,0.546512638275238,0.35245506181671,0.381193207502331,-0.285386178449327,0.164470157201818
"230",230,617112.36344529,635604.090592587,-0.646657695957475,-0.277273603730375,-0.722972268836055,-0.612732362693047,1.30452404507348,1.08585441553769,1.2606356407052,0.464756762076503,-0.315644066534937,-0.375907904091071,0.426478949556617,0.29466093521893
"231",231,609809.773005326,631456.252323086,1.4872209197221,-0.203546158806216,0.529184472779839,1.00944383313827,2.31850253533999,-0.857738836249753,-0.348690380496923,-1.18608304578256,0.915506233098278,1.03534200132422,-0.604127252484173,-0.644738274264029
"232",232,631931.057145554,633572.450677564,0.505232065952416,-0.267726095925545,-0.138582184870288,-0.137909560117046,0.95369604422178,0.119310744378527,0.336665099702005,0.0664589036724122,0.287343067142844,1.62220495388604,0.125611101427901,0.513421298357259
"233",233,730460.974148747,631131.644412676,-0.232939591760707,-0.307702095254796,-0.316912347232694,-0.183285118042397,0.0595124810753655,1.02281895872296,0.624328811893818,0.577957206043982,-0.457451522547982,-1.24323396817219,0.391955455853239,0.0497403332542383
"234",234,716125.026890374,629282.905440794,-0.306553230309204,-0.31351487081902,-1.3757494050534,-0.0439173329859602,0.654208726421545,1.05433668713032,0.687959494774956,0.761383851361655,0.0361886875822559,-0.570925450508495,0.144219766981389,-0.283749882846601
"235",235,669359.912589435,604315.367026745,1.29999646921583,-0.319112181061672,-0.511016314861234,0.00794044750015566,1.43287575270215,0.203358020131497,-0.774220572264536,-0.107534371314639,0.963600240100693,0.22732527564233,-0.822984206653851,-0.518819364512352
"236",236,725972.040768903,606072.075668926,0.517818877087971,-0.313605845065907,-2.00418905201665,0.631854368973741,1.24034819125915,1.3379962427966,-0.966438260134641,-1.87157462314118,0.61356684757495,0.457254163662316,-1.21612003504932,-0.0553800647681776
"237",237,682377.196001767,605507.330260439,0.51864713349406,-0.337517707642297,-0.420214603631685,-0.209214008285455,0.628538384895811,1.15939578182153,-0.627074618101903,0.186996413452597,1.22937108854162,-0.131780445157627,-0.903151269480326,-0.500156902975534
"238",238,691121.553754635,603837.071605821,1.92827417155678,-0.294271423543388,-0.257326930979571,1.90885221344435,1.56978424083941,1.16990169129066,-0.645633567275569,-1.86318940506952,1.70742390069532,1.36530486238026,-1.01143974560359,0.000498020597855681
"239",239,642500.442998795,601936.759597738,0.688976944140777,-0.323905087437115,-0.483684696406304,0.735569929945973,1.57834102134798,0.0142516496873139,-0.417623620284823,-0.98903042109843,1.47574908292882,0.78555756786577,-1.11840487417035,-0.216409187923579
"240",240,740016.136264542,657168.360719854,0.386304295573726,-0.0398451837112633,0.359360240882687,0.409838246267556,1.51844355778794,-0.710656103682055,-0.657564320315782,-0.834952039031585,0.2922702746947,0.478747770866949,-0.433583707259948,-0.597191071896333
"241",241,730550.458731679,652898.67146961,1.29615246407925,0.206589686749616,0.740935159228851,1.13584717307318,1.57406263109369,-0.647620646867327,-0.605864390474857,-1.04248618630529,0.646423266622714,1.06286254592776,-0.527052608793409,-0.35137416970351
"242",242,736732.965937862,647350.708280626,5.00869137141311,0.991797987863903,-0.288187519966308,4.0917406607818,0.889520190407444,-1.04684520669394,0.115283348844711,-2.6472072947702,1.84392025029692,4.8610166965847,-1.19081567656657,0.171143591291681
"243",243,746820.860483398,647999.845878973,0.423868633679922,-0.073194427372568,-0.692192547922326,-0.319411791818452,1.17617233744481,-0.227384268102476,-0.0795856174787756,-0.29200916889127,0.245278060397748,0.0110981034371197,-0.239307182036577,-0.146958092006965
"244",244,680268.25089159,646447.88997735,-0.315510935267594,-0.284024850473008,-1.29362349614501,-0.697001255982985,1.31735921583635,1.08585441553769,0.962366814699865,0.287619030312578,-0.173564721934585,-0.633930859164476,0.604384749357009,0.421154862869706
"245",245,700841.293492489,682827.182783307,-0.625997847246466,-0.238264804289076,0.719818720637029,-0.606250140132282,-1.00152830198832,-0.626608827929085,-0.259872552308668,0.866199077257469,-0.687964725496259,-0.82107985081699,-0.0245290144133045,-1.20459761290315
